tweet_link,created_at,text,retweet_count,reply_count,like_count,quote_count,impression_count,mentions,hashtags
https://twitter.com/yilkal_kefale/status/1552912851978911744,2022-07-29T07:04:10.000Z,በደቡብ ጎንደር ዞን ፎገራና ሊቦከምከም ወረዳወች የጎርፍ አደጋ ተጋላጭነትን ለመቀነስ በክልሉ ውሃና ኢነርጂ ቢሮ የተሰሩትን እና የሚሰሩትን ተግባራት አይተናል  ጥሩ ጂማሮ ነው። ሙሉ በሙሉ ችግሩን ለመቅረፍ በጋራ እንሰራለን። 🇪🇹🇪🇹🇪🇹 https://t.co/fZ4LTUBW09,35,0,160,1,0,,
https://twitter.com/yilkal_kefale/status/1552382434003619840,2022-07-27T19:56:28.000Z,https://t.co/GShezDzMs7,50,0,150,10,0,,
https://twitter.com/yilkal_kefale/status/1551547015947063297,2022-07-25T12:36:49.000Z,በውስጥና በውጭ የገጠመንን ፈተና ለመሻገር እንደ ሕዝብ አንድነታችንን በማጠናከር መረባረብ አለብን። 🇪🇹🇪🇹🇪🇹,105,137,459,12,0,,
https://twitter.com/yilkal_kefale/status/1551508280392007683,2022-07-25T10:02:54.000Z,"የግብርና ምርትን በእጥፍ ለመጨመር ያላሰለሰ ጥረት እያደረግን ነው 

በ2014/15 የምርት ዘመን 4 ነጥብ 8 ሚሊዮን ሄክታር መሬት በማረስ 143 ሚሊዮን ኩንታል ምርት ለማምረት አቅደናል።
 
🇪🇹🇪🇹🇪🇹 https://t.co/bpBrm5gkU8",46,40,179,4,0,,
https://twitter.com/yilkal_kefale/status/1551144380119007233,2022-07-24T09:56:53.000Z,Congratulations 🇪🇹🇪🇹🇪🇹 https://t.co/LnIIGa7w05,32,0,195,2,0,,
https://twitter.com/yilkal_kefale/status/1550510479579435008,2022-07-22T15:58:00.000Z,"በአማራ ክልል አስፈላጊውን ሁሉ ድጋፍ አድርገንላቸው ወደ ስራ በማይገቡ ባለሃብቶች ላይ እርምጃ እየወስድን ነው።

በተለይ መሬት ከመንግሥት ተቀብለው ወደ ስራ ከማይገቡት ባለሀብቶች እጂ መሬት በማስመለስ ለሚሰሩት ባለሀብቶች ለመስጠት ወስነናል:: https://t.co/5jQw9T7QKv",22,0,103,3,0,,
https://twitter.com/yilkal_kefale/status/1550013407415386112,2022-07-21T07:02:48.000Z,"በአሸባሪው ሕወሓት ወረራ የወደሙ ከ 1 ሺህ 145 በላይ  ትምህርት ቤቶችን የመልሶ ግንባታ መርሃ ግብር ዛሬ በደሴ ከተማ ጀምረናል።

ከሁሉም ሀገር ወዳድ ኢትዮጵያዊን ጋር በመሆን የጀመርነውን ለግብ እናደርሳለን። 🇪🇹🇪🇹🇪🇹 https://t.co/1aPDbNgJna",163,130,776,15,0,,
https://twitter.com/yilkal_kefale/status/1549061654700142598,2022-07-18T16:00:53.000Z,"ጎይቶም ገ/ስላሴ  ድንቅ ብቃት ጀግኒት ለ ሀገራችን ኢትዮጵያ ሶስተኛውን ወርቅ በማምጣትሽ ደስ ብሎኛል። እንኳን ደስ አለን።
 Unity is strength 🇪🇹🇪🇹🇪🇹 https://t.co/ArA8hKhCSu",49,0,299,5,0,,
https://twitter.com/yilkal_kefale/status/1549010569180708864,2022-07-18T12:37:53.000Z,የአማራና የቤንሻንጉል ጉምዝ ሕዝቦችን አብሮነት ማንም አይበጥሰውም። 🇪🇹🇪🇹🇪🇹,48,72,197,2,0,,
https://twitter.com/yilkal_kefale/status/1548591376736165889,2022-07-17T08:52:10.000Z,በክልሉ ብሎም በሀገራችን ያለውን የሲሚንቶ እጥረት ችግር በከፍተኛ ደረጃ ይቀርፍልናል ብለን የምናስበው በአመት ከ 8.1 ሚሊዮን ቶን በላይ ማምረት የሚችል የሲሚንቶ ፋብሪካ በምስራቅ ጎጃም ዞን በሸበል በረንታ አካባቢ እየተገነባ ይገኛል።  🇪🇹🇪🇹🇪🇹 https://t.co/KlMIi93xhN,28,0,106,4,0,,
